RegulationId,RegistarId,Naslov,Vazenje,Dario_StupanjeNaSnagu,Dario_DatumPrimjene,Rezultati,,
3554,4260,Zakon o osnivanju Sveuéçiliè≠ta u Dubrovniku,Zakon stupa na snagu 24. 10. 2003.,24.10.2003,,1,,
3555,4261,Zakon o osnivanju Sveuéçiliè≠ta u Puli,Zakon stupa na snagu 19. 10. 2006.,19.10.2006,,1,,
3556,4262,Uredba o pripajanju Veleuéçiliè≠ta u Splitu Sveuéçiliè≠tu u Splitu,"Uredba stupa na snagu  23.10.2003.<br/>
Prestaje vaè?iti Uredba o osnivanju Veleuéçiliè≠ta u Splitu.",,,0,,
3557,4263,Uredba o osnivanju Meé?imurskog veleuéçiliè≠ta u é?akovcu,Uredba stupa na snagu 12. 11. 2007.,12.11.2007,,1,,
3558,4264,"Uredba o osnivanju Veleuéçiliè≠ta ""Nikola Tesla"" u Gospié?u",Uredba stupa na snagu  7. 7. 2006.,,,0,,
3559,4265,Uredba o osnivanju Veleuéçiliè≠ta u Karlovcu,Uredba stupa na snagu 16. 4. 1997.,16.04.1997,,1,,
3560,4266,"Uredba o osnivanju Veleuéçiliè≠ta ""Marko Marulié?"" u Kninu",Uredba stupa na snagu 15.6.2005.,15.06.2005,,1,,
3561,4267,Uredba o osnivanju Veleuéçiliè≠ta u Poè?egi,Uredba stupa na snagu  27.5.1998.,,,0,,
3562,4268,Uredba o osnivanju Veleuéçiliè≠ta u Rijeci,Uredba stupa na snagu  27.5.1998.,,,0,,
3563,4269,Uredba o osnivanju Veleuéçiliè≠ta u Slavonskom Brodu,Uredba stupa na snagu 4.10.2006.,04.10.2006,,1,,
3564,4270,Uredba o osnivanju Veleuéçiliè≠ta u èˇibeniku,Uredba stupa na snagu 10.7.2006.,10.07.2006,,1,,
3565,4271,"Uredba o osnivanju Veleuéçiliè≠ta ""Lavoslav Ruè?iéçka"" u Vukovaru",Uredba stupa na snagu  27. 7. 2005.,,,0,,
3567,4273,Uredba o osnivanju Tehniéçkog veleuéçiliè≠ta u Zagrebu,Uredba stupa na snagu  27. 5. 1998.,,,0,,
3568,4274,Uredba o osnivanju Zdravstvenog veleuéçiliè≠ta (u Zagrebu),Uredba stupa na snagu 24.5.1996.,24.05.1996,,1,,
3570,4276,Uredba o osnivanju Sveuéçiliè≠ta u Rijeci - Visoke pomorske è≠kole u Rijeci,Uredba stupa na snagu 9.6.1998.,09.06.1998,,1,,
3571,4277,Uredba o osnivanju Visoke uéçiteljske è≠kole u é?akovcu,Uredba stupa na snagu  16.4.1997.,,,0,,
3572,4278,Uredba o osnivanju Visoke uéçiteljske è≠kole u Gospié?u,Uredba stupa na snagu 27.5.1998.,27.05.1998,,1,,
3573,4279,Uredba o osnivanju Visoke uéçiteljske è≠kole u Osijeku,Uredba stupa na snagu 27.5.1998.,27.05.1998,,1,,
3574,4280,Uredba o osnivanju Visoke uéçiteljske è≠kole u Petrinji,Uredba stupa na snagu  16. 4. 1997.,,,0,,
3575,4281,Uredba o osnivanju Visoke uéçiteljske è≠kole u Puli,Uredba stupa na snagu 27. 5. 1998.,27.05.1998,,1,,
3576,4282,Uredba o osnivanju Visoke uéçiteljske è≠kole u Rijeci,Uredba stupa na snagu  27.5.1998.,,,0,,
3577,4283,Uredba o osnivanju Visoke uéçiteljske è≠kole u Splitu,Uredba stupa na snagu 27.5.1998.,27.05.1998,,1,,
3578,4284,Uredba o osnivanju Visoke pomorske è≠kole u Splitu,Uredba stupa na snagu 9.6.1998.,09.06.1998,,1,,
3579,4285,Uredba o osnivanju Veleuéçiliè≠ta u Virovitici,Uredba stupa na snagu  13.9.2007.,,,0,,
3580,4286,Uredba o osnivanju Visoke uéçiteljske è≠kole u Zadru,Uredba stupa na snagu 27.5.1998.,27.05.1998,,1,,
3581,4287,Uredba o osnivanju Visoke uéçiteljske è≠kole u Zagrebu,Uredba stupa na snagu 27.5.1998.,27.05.1998,,1,,
3582,4288,Pravilnik o mjerilima i kriterijima za osnivanje visokih uéçiliè≠ta,"Pravilnik stupa na snagu 25. 1. 2005. <br/>
Prestaje vaè?iti Pravilnik o uvjetima za obavljanje djelatnosti visokih uéçiliè≠ta (Narodne novine, br. 62/96).",25.01.2005,,1,,
3583,4289,Pravilnik o mjerilima i kriterijima za vrednovanje kvalitete i uéçinkovitosti visokih uéçiliè≠ta i studijskih programa,Pravilnik stupa na snagu 25. 1. 2005. ,25.01.2005,,1,,
3588,4294,"Odluka o umjetniéçkim ostvarenjima koja su uvjet za izbor u znanstveno-nastavno zvanje docent, izvanredni profesor i redoviti profesor",Odluka stupa na snagu  27. 6. 2001.,,,0,,
3595,4303,Pravilnik o habilitacijskom postupku,Pravilnik stupa na snagu 22. 5. 1998. ,22.05.1998,,1,,
3598,4306,Zakon o studentskom zboru i drugim studentskim organizacijama,"Zakon stupa na snagu 17. 7. 2007. <br/>
Prestaju vaè?it: <br/>
É?? Zakon o studentskom zboru (Narodne novine, br. 139/97.).<br/>
É?? Pravilnik o financiranju projekata i programa studentskih udruga (Narodne novine, br. 70/03.).<br/>
Pravilnik o upisniku studentskih zborova (Narodne novine, br. 19/98.) i Pravilnik o upisniku studentskih udruga (Narodne novine, br. 41/97.) primjenjuju se do donoè≠enja opé?ih akata visokih uéçiliè≠ta iz éçlanka 3. stavka 6. ovoga Zakona.",17.07.2007,,1,,
3599,4307,Pravilnik o Upisniku studentskih zborova,Pravilnik stupa na snagu 13. 2. 1998.,13.02.1998,,1,,
3603,4314,Zakon o Hrvatskoj akademiji znanosti i umjetnosti,"Zakon stupa na snagu 24. 7. 1991. <br/>
Prestaje vaè?iti Zakon o Jugoslavenskoj akademiji znanosti i umjetnosti (Narodne novine, br. 54/83).",24.07.1991,,1,,
3604,4315,Zakon o Leksikografskom zavodu Miroslav Krleè?a,"Zakon stupa na snagu 18. 6. 2003. <br/>
Prestaje vaè?iti Uredba Vlade Republike Hrvatske o Leksikografskom zavodu ?ØMiroslav Krleè?a?Æ (Narodne novine, br. 6/91.).",18.06.2003,,1,,
3605,4316,Zakon o hrvatskim drè?avnim nagradama za znanost,Zakon stupa na snagu 5. 1. 1996.,05.01.1996,,1,,
3606,4317,Pravilnik o postupku podjele drè?avnih nagrada za znanost,Pravilnik stupa na snagu 11. 4. 1997.,11.04.1997,,1,,
3607,4322,"Odluka o osnivanju Nacionalnog odbora za djelatnosti: ""Europa: Zajedniéçka baè≠tina""",Odluka stupa na snagu 22. 4. 1999.,22.04.1999,,1,,
3610,4325,"Odluka o ""Nagradi Vicko Andrié?""",Odluka stupa na snagu 30. 6. 2005.,30.06.2005,,1,,
3611,4326,"Odluka o ""Nagradi Iso Velikanovié?""",Odluka stupa na snagu 30. 6. 2005.,30.06.2005,,1,,
3612,4327,"Odluka o ""Nagradi Ivo Horvat""","Odluka stupa na snagu 30. 8. 2006.
",30.08.2006,,1,,
3677,4332,Pravilnik o registru umjetniéçkih organizacija,Pravilnik stupa na snagu 11. 7. 1996.,11.07.1996,,1,,
3679,4334,Zakon o tehniéçkoj kulturi,"Zakon stupa na snagu 24. 8. 1993. <br/>
Prestaje vaè?iti Zakon o tehniéçkoj kulturi (Narodne novine, br. 41/80).
",24.08.1993,,1,,
3680,4335,Pravilnik o kriterijima i rokovima za utvré?ivanje programa i osiguranje sredstava za financiranje javnih potreba Republike Hrvatske u tehniéçkoj kulturi,Pravilnik stupa na snagu 18. 8. 1994.,18.08.1994,,1,,
3681,4336,Pravilnik o uvjetima za obavljanje djelatnosti tehniéçke kulture,Pravilnik stupa na snagu 28. 4. 1994.,28.04.1994,,1,,
3682,4337,Pravilnik o Drè?avnoj nagradi tehniéçke kulture Faust Vranéçié?,Pravilnik stupa na snagu 7. 1. 1994.,07.01.1994,,1,,
3683,4338,"Zakon o ovlaè≠tenju Vlade Republike Hrvatske za donoè≠enje uredbe o ureé?ivanju odreé?enih pitanja u obavljanju zaè≠tite spomenika kulture, knjiè?niéçarske i muzejske djelatnosti",Zakon stupa na snagu 24. 7. 1991.,24.07.1991,,1,,
3684,4339,"Uredba o ureé?ivanju odreé?enih pitanja u obavljanju zaè≠tite spomenika kulture, knjiè?niéçarske i muzejske djelatnosti","Uredba stupa na snagu 3. 8. 1991. <br/>
Prestaju se primjenjivati odredbe Zakona o zaè≠titi spomenika kulture (Narodne novine, br. 7/67, preéçiè≠é?eni tekst, 13/67, 47/86, 47/89 i 19/91), Zakona o biblioteéçnoj djelatnosti i bibliotekama (Narodne novine, br. 25/73 i 47/86), te Zakona o muzejskoj djelatnosti (Narodne novine, br. 12/77 i 47/86), koje su u suprotnosti s odredbama ove uredbe.
 
",03.08.1991,,1,,
3685,4340,Zakon o zaè≠titi i oéçuvanju kulturnih dobara,"Zakon stupa na snagu 13. 7. 1999.<br />
Prestaju vaè?iti:<br />
- Zakon o zaè≠titi spomenika kulture (Narodne novine, br. 32/65, 55/65, 50/66, 7/67 - proéçiè≠é?eni tekst, 13/67, 31/86, 47/86, 47/89, 19/91, 26/93 i 52/94),<br />
- Osnovni zakon o zaè≠titi spomenika kulture (Narodne novine, br. 52/71),<br />
- éçlanci 31. i 32. Zakona o odreé?ivanju poslova iz samoupravnog djelokruga jedinica lokalne samouprave i uprave (Narodne novine, br. 75/93)  i <br />
- Naredba o jedinstvenom djelovanju Sluè?be za zaè≠titu spomenika kulture (Narodne novine, br. 7/92). ",13.07.1999,,1,,
3687,4342,"Pravilnik o sadrè?aju, obliku i naéçinu izdavanja sluè?bene iskaznice sluè?benika Uprave za zaè≠titu kulturne baè≠tine Ministarstva kulture i sluè?bene iskaznice sluè?benika Gradskog zavoda za zaè≠titu spomenika kulture i prirode u Zagrebu",Pravilnik stupa na snagu 19. 8. 2004.,19.08.2004,,1,,
3691,4347,Pravilnik o oznaéçavanju nepokretnih kulturnih dobara i objekata u kojima su smjeè≠tene zbirke kulturnih dobara, Pravilnik stupa na snagu 9. 2. 2006.,09.02.2006,,1,,
3695,4352,Rezolucija o obnovi Hrvatske kulturne baè≠tine,"Rezolucija stupa na snagu 17. 6. 1992., i primjenjivat é?e se izravno, kao i kroz zakonodavstvo s podruéçja zaè≠tite spomenika kulture, zaè≠tite okoliè≠a, prostornog ureé?enja i graditeljstva.",17.06.1992,,1,,
3696,4353,Odluka o osnivanju Fonda za obnovu spomenika kulture Hrvatske,Odluka stupa na snagu 3. 3. 1992.,03.03.1992,,1,,
3698,4356,Zakon o Spomen-podruéçju Jasenovac,"Zakon stupa na snagu 25. 4. 1990.  <br/>
Prestaje vaè?iti Odluka o sudjelovanju Socijalistiéçke Republike Hrvatske u financiranju Spomen-kompleksa ""Petrova Gora"" i ""Jasenovac"" i o odreé?ivanju ustanove koja vrè≠i struéçan nadzor (Narodne novine, br. 6/67) u dijelu koji se odnosi na financiranje i struéçni nadzor Spomen-kompleksa Jasenovac.
",25.04.1990,,1,,
3699,4357,Odluka o izradi Prostornog plana Spomen-podruéçja Jasenovac,Odluka stupa na snagu 12. 5. 1990.,12.05.1990,,1,,
3700,4358,Odluka o izgradnji Spomenika neovisnosti,"Odluka stupa na snagu 6. 7. 2006.<br/>
Prestaje vaè?iti Odluka o izgradnji Spomenika Domovini (Narodne novine, br. 50/01).
",06.07.2006,,1,,
3701,4359,Odluka o izradi Strategije razvitka jeziéçne kulture,Odluka stupa na snagu 22. 10. 2003.,22.10.2003,,1,,
3702,4360,"Zakon o ""Nagradi Vladimir Nazor""","Zakon stupa na snagu 19. 6. 1991.<br/>
Prestaje vaè?iti Zakon o ""Nagradi Vladimira Nazora"" (Narodne novine, br. 33/76). 
",19.06.1991,,1,,
3703,4361,"Pravilnik o radu Odbora ""Nagrade Vladimir Nazor""",Pravilnik stupa na snagu 24. 7. 1992.,24.07.1992,,1,,
3705,4363,Uredba o osnivanju Drè?avnog arhiva u Vukovaru,Uredba stupa na snagu 25. 1. 2007.,25.01.2007,,1,,
3706,4364,Uredba o osnivanju Drè?avnog arhiva u Virovitici,Uredba stupa na snagu 28. 10. 2008.,28.10.2008,,1,,
3707,4365,Uredba o osnivanju Drè?avnog arhiva u èˇibeniku,Uredba stupa na snagu 25. 1. 2007.,25.01.2007,,1,,
3708,4366,Uredba o osnivanju Drè?avnog arhiva za Meé?imurje,Uredba stupa na snagu 15. 2. 2007.,15.02.2007,,1,,
3709,4367,Uredba o osnivanju Drè?avnog arhiva u Kriè?evcima,Uredba stupa na snagu 12. 7. 2008.,12.07.2008,,1,,
3719,4377,Pravilnik o zaè≠titi arhivskoga i registraturnog gradiva Ministarstva zdravstva i socijalne skrbi,Pravilnik stupa na snagu 5. 2. 2007.,05.02.2007,,1,,
3720,4378,Pravilnik o zaè≠titi arhivskoga i registraturnog gradiva Drè?avne uprave za zaè≠titu i spaè≠avanje,Pravilnik stupa na snagu 23. 10. 2006.,23.10.2006,,1,,
3727,4386,Zakon o Hrvatskom memorijalno-dokumentacijskom centru Domovinskog rata,Zakon stupa na snagu 24. 12. 2004.,24.12.2004,,1,,
3729,4388,Uredba o osnivanju Hrvatske knjiè?nice za slijepe,Uredba stupa na snagu 12. 11. 1999.,12.11.1999,,1,,
3738,4397,"Uredba o ""Muzejima Hrvatskog zagorja""",Uredba stupa na snagu 12. 8. 1992.,12.08.1992,,1,,
3739,4398,Uredba o osnivanju Hrvatskoga è≠portskog muzeja,Uredba stupa na snagu 5. 11. 2003.,05.11.2003,,1,,
3740,4399,Uredba o osnivanju Hrvatskog muzeja turizma,Uredba stupa na snagu 21. 9. 2007.,21.09.2007,,1,,
3742,4401,Uredba o osnivanju Arheoloè≠kog muzeja Narona,Uredba stupa na snagu 12. 5. 2005.,12.05.2005,,1,,
3743,4402,Uredba o osnivanju Muzeja antiéçkog stakla u Zadru,"Uredba stupa na snagu 22. 6. 2006,",22.06.2006,,1,,
3750,4409,"Pravilnik o struéçnim i tehniéçkim standardima za odreé?ivanje vrste muzeja, za njihov rad, te za smjeè≠taj muzejske graé?e i muzejske dokumentacije",Pravilnik stupa na snagu 25. 3. 2006.,25.03.2006,,1,,
3751,4410,Zakon o Muzejima Ivana Meè≠trovié?a," Zakon stupa na snagu 31. 7. 2007. <br/>
Prestaje vaè?iti Zakon o ""Fundaciji Ivana Meè≠trovié?a"" (Narodne novine, br. 9/91).
",31.07.2007,,1,,
3754,4413,Pravilnik o kriterijima i standardima za osiguravanje sredstava za nacionalna kazaliè≠ta,Pravilnik stupa na snagu 19. 10. 2008.,19.10.2008,,1,,
3763,4426,Uredba o osnivanju Hrvatske Lutrije d.o.o.,Uredba stupa na snagu 6. 3. 1992.,06.03.1992,,1,,
3764,4427,Uredba o kriterijima za utvré?ivanje korisnika i naéçinu raspodjele dijela prihoda od igara na sreé?u za 2009. godinu,Uredba stupa na snagu 1. 1.  2009. ,01.01.2009,,1,,
3776,4439,"Pravilnik o prostornim standardima, normativima te urbanistiéçko-tehniéçkim uvjetima za planiranje mreè?e è≠portskih objekata","Pravilnik stupa na snagu 8. 8. 1991. <br/>
Prestaje vaè?iti Pravilnik o prostornim standardima i normativima te urbanistiéçko-tehniéçkim uvjetima za planiranje mreè?e objekata fiziéçke kulture (Narodne novine, br. 36/85).
",08.08.1991,,1,,
3778,4441,Pravilnik o struéçnoj spremi odnosno struéçnoj osposobljenosti za samostalno obavljanje struéçnih poslova u è≠portu osobnim radom,"Pravilnik stupa na snagu 26. 7. 1991. <br/>
Prestaje vaè?iti Pravilnik o vrsti i stupnju struéçne spreme odnosno struéçne osposobljenosti osoba koje obavljaju struéçne poslove u fiziéçkoj kulturi osobnim radom samostalno u svrhu zanimanja (Narodne novine, br. 11/88).
",26.07.1991,,1,,
3779,4442,Pravilnik o uvjetima za obavljanje obuke ronjenja i è≠portsko-rekreativnog ronjenja,Pravilnik stupa na snagu 1. 11. 2000.,01.11.2000,,1,,
3783,4446,Arbitraè?na pravila èˇportskog arbitraè?nog sudiè≠ta pri Hrvatskom olimpijskom odboru,Arbitraè?na pravila stupaju na snagu 9. 7. 1999.,09.07.1999,,1,,
3784,4447,Odluka o troè≠kovima postupka pred èˇportskim arbitraè?nim sudiè≠tem pri Hrvatskom olimpijskom odboru,Odluka stupa na snagu 9. 7. 1999.,09.07.1999,,1,,
3785,4448,Odluka o troè≠kovima postupka pred Vijeé?em sportske arbitraè?e Hrvatskog olimpijskog odbora,Odluka stupa na snagu 9. 7. 1999.,09.07.1999,,1,,
3787,4450,Upute o provoé?enju nadzora nad struéçnim radom u è≠portu,"Upute stupaju na snagu 28. 5. 1991.<br/>
Prestaju vaè?iti: <br/>
É?? Uputstvo o naéçinu obavljanja nadzora u fiziéçkoj kulturi (Narodne novine, br. 7/89) i <br/>
É?? Lista struéçnjaka ovlaè≠tenih za provoé?enje nadzora u djelatnosti fiziéçke kulture (Narodne novine, br. 8/89, 20/89 i 46/90).
",28.05.1991,,1,,
3789,4452,Zakon o sprjeéçavanju nereda na è≠portskim natjecanjima,Zakon stupa na snagu 23. 7. 2003.,23.07.2003,,1,,
3790,4453,Pravilnik o osposobljavanju osoba koje obavljaju poslove redara na è≠portskim natjecanjima,Pravilnik stupa na snagu 6. 5. 2004.,06.05.2004,,1,,
3797,4461,Zakon o medijima,Zakon stupa na snagu 18. 5. 2004.,18.05.2004,,1,,
3798,4462,"Pravilnik o uvjetima, kriterijima i postupku provoé?enja javnog natjeéçaja za dodjelu sredstava u svrhu poticanja i zaè≠tite pluralizma i raznovrsnosti medija",Pravilnik stupa na snagu 28. 7. 2005.,28.07.2005,,1,,
3800,4465,Odluka o utvré?ivanju visine plaé?a éçlanova Vijeé?a za elektroniéçke medije,"Odluka stupa na snagu 4. 6. 2004.
",04.06.2004,,1,,
3812,4477,Zakon o Hrvatskoj izvjeè≠tajnoj novinskoj agenciji (Hina),"Zakon stupa na snagu 15. 11. 2001. <br/>
Prestaje vaè?iti zakon o Hrvatskoj izvjeè≠tajnoj novinskoj agenciji ""HINA"" (Narodne novine, br. 31/90).
",15.11.2001,,1,,
3813,4480,Zakon o preoblikovanju Javnog poduzeé?a Narodne novine,Zakon stupa na snagu 8. 12. 1999.,08.12.1999,,1,,
3817,4485,"Odluka o carinskim, poreznim i drugim olakè≠icama stranih diplomatskih i konzularnih predstavniè≠tava u Republici Hrvatskoj",Odluka stupa na snagu 31. 12. 1999.,31.12.1999,,1,,
3818,4486,Naputak o provoé?enju odredbi Ugovora o statusu snaga (SOFA) kojim se ureé?uje plaé?anje poreza,Naputak stupa na snagu 16. 2. 1996.,16.02.1996,,1,,
3819,4487,Naputak o poreznim povlasticama za UNTAES,Naputak stupa na snagu 4. 4. 1997.,04.04.1997,,1,,
3820,4488,"Naputak o provoé?enju odredbi Sporazuma o izuzeé?u od plaé?anja poreza i carina izmeé?u Vlade Republike Hrvatske i Komisije europskih zajednica, Europske unije",Naputak stupa na snagu 21. 2. 1997.,21.02.1997,,1,,
3821,4489,Zakon o osobnom identifikacijskom broju,"Zakon stupa na snagu 1. 1. 2009., osim odredbe éçlanka 3. stavka 2. i 3. ovoga Zakona koje stupaju na snagu danom prijema Republike Hrvatske u éçlanstvo u Europskoj uniji.",01.01.2009,,1,,
3824,4493,"Odluka o dopuè≠tenom manjku s naslova kala, rastepa, kvara i loma na proizvodima u trgovini","Odluka stupa na snagu 25. 12. 2007.<br/>
Prestaje vaè?iti Pravilnik o dopuè≠tenoj visini kala, rastepa, kvara i loma na proizvodima u trgovini (?ØNarodne novine?Æ br: 57/1998, 81/02, 203/ 03 i 59/07).",25.12.2007,,1,,
3825,4494,"Odluka o dopuè≠tenoj visini kala, rastepa, kvara i loma na proizvodima u trgovini (obrtnika)","Odluka stupa na snagu 28. 7. 2004.<br/>
Prestaje vaè?iti Odluka o dopuè≠tenoj visini kala, rastepa, kvara i loma na proizvodima u trgovini i ugostiteljstvu (?ØNarodne novine?Æ broj, 94/98. i 56/99.) u dijelu koji se odnosi na trgovinu.",28.07.2004,,1,,
3826,4495,"Odluka o dopuè≠tenoj visini kala, rastepa, kvara i loma u ugostiteljstvu (obrtnika)","Odluka stupa na snagu 28. 7. 2004.<br/>
Prestaje vaè?iti Odluka o dopuè≠tenoj visini kala, rastepa, kvara i loma na proizvodima u trgovini i ugostiteljstvu u dijelu koji se odnosi na ugostitelje (Narodne novine, br. 94/98 i 56/99).",28.07.2004,,1,,
3829,4498,"Odluka o dopuè≠tenoj visini kala, rastepa, kvara i loma u graditeljstvu",Odluka stupa na snagu 14. 10. 1999.,14.10.1999,,1,,
3831,4500,"Odluka o dopuè≠tenoj visini kala, rastepa, kvara i loma na è?itaricama i proizvodima od è?itarica i braè≠na",Odluka stupa na snagu 30. 12. 1999.,30.12.1999,,1,,
3832,4501,"Tumaéçenje Odluke o dopuè≠tenoj visini kala, rastepa, kvara i loma na è?itaricama i proizvodima od è?itarica i braè≠na",Odluka se primjenjue od 30. 12. 1999.,,30.12.1999,1,,
3833,4502,Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka i rasipa u doradi/konfekcioniranju meda i drugih péçelinjih proizvoda,Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3834,4503,"Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka, kala, kvara, rasipa i loma u peradarstvu i proizvodnji jaja",Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3835,4504,"Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka, kala, kvara, rasipa i loma u industriji prerade ribe",Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3836,4505,"Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka, kala, kvara, rasipa i loma u proizvodnji mlinskih i pekarskih proizvoda i tjestenine",Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3837,4506,"Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka, kala, kvara, rasipa i loma za proizvode u industriji ulja",Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3838,4507,"Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka, kala, kvara, rasipa i loma u proizvodnji è≠eé?era",Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3839,4508,"Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka, kala, kvara, rasipa i loma u industriji stoéçne hrane",Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3841,4510,"Odluka o dopuè≠tenoj visini tehnoloè≠kog manjka, kala, kvara, rasipa i loma u proizvodnji i preradi duhana",Odluka stupa na snagu 26. 2. 2000.,26.02.2000,,1,,
3847,4516,Uredba o visini posebnog poreza na naftne derivate,Uredba stupa na snagu 1. 5. 2007.,01.05.2007,,1,,
3857,4526,Zakon o porezu na premije osiguranja od automobilske odgovornosti i premije kasko osiguranja cestovnih vozila,"Zakon stupa na snagu 25. 12. 2002.<br/>
Prestaje vaè?iti Zakon o porezu na premije osiguranja od automobilske odgovornosti (Narodne novine, br. 107/01).",25.12.2002,,1,,
3858,4527,Pravilnik o voé?enju evidencije o plaé?enom porezu na premije osiguranja od automobilske odgovornosti i na premije kasko osiguranja cestovnih vozila,"Pravilnik stupa na snagu 31. 1. 2003.<br/>
Prestaje vaè?iti Pravilnik o obliku i sadrè?aju obrazaca za evidentiranje i izvjeè≠é?ivanje o obraéçunanom i plaé?enom porezu na premije osiguranja od automobilske odgovornosti (?ØNarodne novine?Æ, broj 14/02).",31.01.2003,,1,,
3930,4605,Odluka o porezima Grada èˇibenika,"Odluka stupa na snagu osmog dana od objave u ?ØSluè?benom vjesniku èˇibensko-kninske è?upanije?Æ, a primjenjuje se od 1. 1. 2002.<br/>
Prestaje vaè?iti Odluka o gradskim porezima i Odluka o prirezu na porez na dohodak (Sluè?beni vjesnik èˇibenske è?upanije, br. 4/94).<br/>
",,01.01.2002,1,,
3976,4651,Odluka o opé?inskim porezima Opé?ine Cista Provo,"Odluka stupa na snagu 8 dana od dana objave u Sluè?benom glasniku opé?ine Cista Provo, a objavit é?e se i u Narodnim novinama, primjenjivat é?e se od 1. 1. 2002. <br/>
Prestaje vaè?iti Odluka o opé?inskim porezima Opé?ine Cista Provo (Sluè?beni glasnik grada Imotskog i opé?ina Cista Provo, br. 2/94).

",01.01.2002,01.01.2002,0,,
3979,4654,Odluka o prirezu poreza na dohodak (Opé?ina é?eminac),Odluka stupa na snagu 2. 8. 2002.,02.08.2002,,1,,
3983,4658,Odluka o prirezu porezu na dohodak (Opé?ina Donja Voé?a),Odluka stupa na snagu 21. 1. 2006.,21.01.2006,,1,,
4000,4675,Odluka o prirezu na dohodak (Opé?ina Garéçin),Odluka stupa na snagu 2. 1. 2008.,02.01.2008,,1,,
4013,4688,Odluka o prirezu porezu na dohodak (Opé?ina Kanfanar),"Odluka stupa na snagu 28. 12 .2006,a primjenjuje se od 1. sijeéçnja 2007. godine.",01.01.2007,01.01.2007,0,,
4014,4689,Odluka o opé?inskim porezima (Opé?ina Kapela),"Danom stupanja na snagu ove Odluke prestaje vaè?iti Odluka o opé?inskim porezima, klasa: 021-05/01-01/01 od 1. oè?ujka 2001. ",,,1,,
4097,4773,Odluka o opé?inskim porezima (Opé?ina Sv. Petar u èˇumi),"Odluka stupa na snagu osmog dana od dana objave u ?ØNarodnim novinama?Æ, a primje??njuje se od 1. 1. 2001. <br/>
Odluka é?e se objaviti i u Sluè?benim novinama Grada Pazina i Opé?ina Cero??lje, Graéçiè≠é?e, Karojba, Lupoglav, Motovun, Sv. Petar u èˇumi i Tinjan.<br/>
Prestaje vaè?iti Odluka o lokalnim porezima Opé?ine Sv. Petar u èˇumi (Sluè?bene novine Grada Pazina, br. 2/94., 13/94., 14/94., i 9/95.).",,,0,,
4110,4786,Odluka o opé?inskim porezima (Opé?ina Vela Luka),"Odluka stupa na snagu osmog dana od dana objave u Sluè?benom glasniku Opé?ine Vela Luka, a primjenjivat é?e se od 1. 1.  2002. <br/>
Prestaje vrijediti Odluka o opé?inskim porezima objavljena u Sluè?benim glasnicima Opé?ine Vela Luka, br. 1/94, 1/95, 4/95 i 2/96.",,01.01.2002,1,,
4133,4809,Zakon o porezu na dobit,"Zakon stupa na snagu 1. 1. 2005.<br/>
Prestaje vaè?iti Zakon o porezu na dobit (Narodne novine, br. 127/00 i 163/03).",01.01.2005,,1,,
4134,4810,Pravilnik o porezu na dobit,"Pravilnik stupa na snagu 3. 8. 2005.<br/>
Prestaje vrijediti Pravilnik o porezu na dobit (Narodne novine, br. 1/05 i 14/05).",03.08.2005,,1,,
4135,4815,Pravilnik o naéçinu izraéçuna izvrè≠enih ulaganja i iskoriè≠tenih potpora za ulaganja i o naéçinu ostvarenja porezne povlastice za korisnike slobodnih zona,Pravilnik stupa na snagu 22. 10. 2008.,22.10.2008,,1,,
4148,4831,"Odluka o carinskim, poreznim i drugim olakè≠icama stranih diplomatskih i konzularnih predstavniè≠tava u Republici Hrvatskoj","Odluka stupa na snagu 31. 12. 1991.
",31.12.1991,,1,,
4149,4833,"Naputak o provoé?enju odredbi Ugovora o statusu snaga (SOFA) kojim se ureé?uje carinski postupak s robom koja se uvozi, izvozi ili provozi za potrebe SFOR-a","Naputak stupa na snagu 3. 5. 1999.<br/>
Prestaju vaè?iti do sada izdani naputci Srediè≠njeg ureda Carinske uprave u svezi s carinskim postupkom sa robom koja se uvozi, izvozi ili provozi za potrebe SFOR-a.",03.05.1999,,1,,
